epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.73,1.05968,2.82096,1.39579,0.43666,0.2281,0.25998,0.16443,1.1651,3.1776,1.53951,0.0003636,0.0003636,0.0003636
2,599.004,1.16082,2.25716,1.44936,0.55974,0.25028,0.27707,0.1423,1.4523,3.6383,1.84539,0.000726667,0.000726667,0.000726667
3,898.705,1.18722,2.20573,1.47043,0.30171,0.40597,0.31633,0.17612,1.37771,3.34478,1.79029,0.0010824,0.0010824,0.0010824
4,1195.91,1.2401,2.08151,1.46925,0.49726,0.25673,0.241,0.14206,1.5593,3.19712,1.99117,0.001078,0.001078,0.001078
5,1505.79,1.22614,2.03351,1.4719,0.33668,0.29386,0.27478,0.1666,1.48405,2.75294,1.8411,0.001067,0.001067,0.001067
6,1805.05,1.17868,1.94571,1.44877,0.36321,0.22486,0.23618,0.12204,1.75569,2.72181,2.07218,0.00105601,0.00105601,0.00105601
7,2096.88,1.19608,1.87163,1.4744,0.32443,0.29476,0.23821,0.13916,1.62042,2.79526,1.90546,0.00104501,0.00104501,0.00104501
8,2387.91,1.13425,1.7495,1.41804,0.5195,0.38503,0.39212,0.25268,1.46275,2.54193,1.82741,0.00103401,0.00103401,0.00103401
9,2682.48,1.13222,1.71897,1.41821,0.57106,0.34032,0.32972,0.20137,1.46606,2.56512,1.80137,0.00102301,0.00102301,0.00102301
10,2975.18,1.101,1.63891,1.394,0.39907,0.4092,0.29792,0.16858,1.46599,2.57118,1.84446,0.00101201,0.00101201,0.00101201
11,3332.15,1.14413,1.61948,1.4163,0.57508,0.37631,0.44405,0.27143,1.3868,2.17339,1.76852,0.00100101,0.00100101,0.00100101
12,3710.45,1.07335,1.5164,1.36838,0.48334,0.44848,0.43252,0.26266,1.48198,2.23392,1.83899,0.000990012,0.000990012,0.000990012
13,4027.1,1.07626,1.47224,1.36437,0.48646,0.49564,0.45791,0.30452,1.30457,2.0804,1.6265,0.000979013,0.000979013,0.000979013
14,4329.44,1.06544,1.4585,1.37704,0.60949,0.41422,0.50209,0.32498,1.38602,1.96537,1.73248,0.000968014,0.000968014,0.000968014
15,4629.69,1.0457,1.43816,1.34829,0.39711,0.3739,0.33716,0.21678,1.35804,2.34971,1.73165,0.000957015,0.000957015,0.000957015
16,4929.23,1.04034,1.37178,1.33583,0.42436,0.43035,0.3832,0.25427,1.39837,2.34072,1.69304,0.000946016,0.000946016,0.000946016
17,5232.27,1.00189,1.35561,1.30369,0.52216,0.55805,0.51693,0.3332,1.40498,1.87143,1.75616,0.000935018,0.000935018,0.000935018
18,5544.96,1.02191,1.30707,1.33454,0.47548,0.42457,0.42292,0.28237,1.38884,2.1194,1.75432,0.000924019,0.000924019,0.000924019
19,5856.93,1.0087,1.2752,1.3095,0.44973,0.38549,0.40192,0.27735,1.38504,2.11726,1.70387,0.00091302,0.00091302,0.00091302
20,6163.1,0.97577,1.23266,1.2953,0.6221,0.45628,0.51163,0.32676,1.34852,1.90728,1.69751,0.000902021,0.000902021,0.000902021
21,6477.92,0.98586,1.22088,1.28683,0.60337,0.54493,0.50811,0.36111,1.34021,2.10882,1.69837,0.000891022,0.000891022,0.000891022
22,6789.64,0.98755,1.21406,1.27701,0.60035,0.4157,0.49512,0.33475,1.32787,2.00431,1.69538,0.000880023,0.000880023,0.000880023
23,7095.34,0.94115,1.15053,1.28663,0.491,0.50475,0.51067,0.34765,1.32128,1.88082,1.68594,0.000869024,0.000869024,0.000869024
24,7401.73,0.92871,1.10631,1.26268,0.60675,0.52963,0.55204,0.37425,1.3332,1.75625,1.673,0.000858025,0.000858025,0.000858025
25,7712.3,0.92553,1.13738,1.28096,0.57232,0.45142,0.49767,0.35305,1.30908,1.89828,1.66151,0.000847026,0.000847026,0.000847026
26,8032.04,0.91063,1.10976,1.24968,0.46526,0.54977,0.48749,0.32203,1.35875,2.13327,1.66732,0.000836027,0.000836027,0.000836027
27,8322.84,0.90807,1.05443,1.24317,0.5001,0.51013,0.47036,0.32,1.35085,1.92295,1.67966,0.000825029,0.000825029,0.000825029
28,8625.9,0.91562,1.08157,1.24268,0.55385,0.53446,0.52812,0.38552,1.26232,1.81876,1.61496,0.00081403,0.00081403,0.00081403
29,8943.86,0.88313,1.02773,1.22123,0.5344,0.43412,0.45803,0.32244,1.30503,1.84573,1.59902,0.000803031,0.000803031,0.000803031
30,9265.11,0.88932,1.01886,1.22706,0.62344,0.43769,0.46999,0.33393,1.28177,1.87555,1.60042,0.000792032,0.000792032,0.000792032
31,9591.33,0.87859,1.00485,1.21854,0.61634,0.38764,0.46071,0.32533,1.27411,1.9665,1.6201,0.000781033,0.000781033,0.000781033
32,9885.5,0.85965,0.98043,1.20238,0.5742,0.507,0.52184,0.37827,1.25957,1.72907,1.60795,0.000770034,0.000770034,0.000770034
33,10195.2,0.84949,0.94007,1.19571,0.61754,0.44034,0.48196,0.35107,1.31973,1.81888,1.66772,0.000759035,0.000759035,0.000759035
34,10494.2,0.8375,0.91969,1.1919,0.63764,0.50902,0.53901,0.37684,1.29386,1.69025,1.68566,0.000748036,0.000748036,0.000748036
35,10801,0.84675,0.90851,1.19744,0.602,0.47656,0.50849,0.37001,1.25344,1.72116,1.60289,0.000737037,0.000737037,0.000737037
36,11117.9,0.81802,0.90185,1.18186,0.59627,0.51868,0.49725,0.3409,1.29293,1.83268,1.62982,0.000726038,0.000726038,0.000726038
37,11450.3,0.82203,0.88654,1.18743,0.60414,0.52002,0.53438,0.38372,1.29437,1.82626,1.64829,0.00071504,0.00071504,0.00071504
38,11780.8,0.79187,0.86734,1.1628,0.63923,0.45968,0.49889,0.35823,1.29058,1.84929,1.67973,0.000704041,0.000704041,0.000704041
39,12128.6,0.82537,0.89138,1.18018,0.50499,0.52288,0.46796,0.32141,1.30601,1.835,1.64936,0.000693042,0.000693042,0.000693042
40,12470,0.78759,0.84495,1.16409,0.62117,0.54793,0.55695,0.3959,1.27166,1.82532,1.65442,0.000682043,0.000682043,0.000682043
41,12814.9,0.79083,0.86441,1.15643,0.54631,0.50673,0.49947,0.36801,1.30448,1.87576,1.67622,0.000671044,0.000671044,0.000671044
42,13155.8,0.77396,0.82677,1.14248,0.60202,0.47745,0.51095,0.36418,1.349,1.80989,1.7102,0.000660045,0.000660045,0.000660045
43,13495.3,0.795,0.83471,1.16893,0.53418,0.47706,0.51606,0.38505,1.25299,1.73643,1.63213,0.000649046,0.000649046,0.000649046
